# Gaia DR3 Sample Dataset
# Data provided by ESA under the Gaia Archive terms (https://gea.esac.esa.int/archive/)
# This excerpt is for demonstration purposes only - not for scientific use
# Coordinates are ICRS at reference epoch J2016.0
source_id,ra,dec,phot_g_mean_mag,ref_epoch
4472832130942575872,266.41683166859,-28.936177761241,6.7743,2016.0
4472832130942575744,266.41758925908,-28.936063213496,11.2891,2016.0
5853498713190525696,279.23473684464,38.783688956384,0.0306,2016.0
2061197548693071616,310.35797899386,45.280338804498,1.2502,2016.0
1636148068921376768,269.15154371398,51.489010717498,3.3128,2016.0
5933951884067928832,262.68954140594,-24.999567028634,5.9512,2016.0
2081774224592989184,292.68033548727,27.959680072673,2.8991,2016.0
4293318823182081536,257.59468165933,-15.724907899353,4.2261,2016.0
6752105017575714944,101.28715533824,-16.716115924869,0.3871,2016.0
2947050466531873024,114.82549400943,5.227520312498,1.1432,2016.0
3864972938605115520,152.09296244302,11.967208776481,1.9792,2016.0
4689468895451843840,206.88517198324,12.331359148218,3.4731,2016.0
3340477025774983424,132.10822632015,-52.696248178216,5.2318,2016.0
5321178373143498112,186.64970278864,-63.099092063041,2.7514,2016.0
3449076721168668288,168.52708849194,-53.466450803543,4.4981,2016.0
5350386295261772160,161.26388945212,-64.394451086213,3.4934,2016.0
2550889833640955008,84.05338838091,-1.201920249831,4.3658,2016.0
3195919528989223808,100.98285918302,-42.061693851216,6.1724,2016.0
5617295028119109120,104.65643317584,-28.972089214583,1.5029,2016.0
5521693056830912256,122.38310296128,-47.336587285798,3.0482,2016.0
5460670787959012864,130.07383246841,-59.509489348694,4.8219,2016.0
5239838022271712256,149.21579476854,-69.717208348563,5.6312,2016.0
4657523326287936640,270.16051652981,-29.86798739521,4.4172,2016.0
4063342740686859136,198.51981747821,-2.917364918123,6.9423,2016.0
3596730454393424128,161.69234814702,-49.420329087592,2.1583,2016.0
4689468895451844352,206.88477834126,12.330816418921,7.2134,2016.0
6050296829033196032,240.08358417586,-22.621706812463,5.0128,2016.0
6045669336457585664,247.35190834287,-26.432002916348,2.2912,2016.0
6028421529401841664,248.97062614493,-28.216019834521,4.8734,2016.0
6036068143815145728,253.08358417125,-34.293485291563,5.3192,2016.0
5978489080749998336,264.32984723186,-37.103823914682,3.5891,2016.0
5976002370954818048,265.86832150184,-39.029919834216,4.0123,2016.0
4116363997277943296,186.10366837294,-12.518318741923,6.8932,2016.0
4377791383855492480,252.17125638401,-13.054819283472,5.2318,2016.0
4360610709083197696,245.29787634182,-19.805316829348,3.8912,2016.0
6724193237594324352,87.45298123648,-9.669604918234,1.6428,2016.0
3017878215949227776,79.17232948193,45.998283914682,3.3892,2016.0
508952489227742208,58.78973214835,40.955838129384,4.2134,2016.0
4545184339113699072,274.40583416934,-36.761619823164,2.8234,2016.0
6879184387623395968,38.92183746812,-15.939826481234,5.1923,2016.0
2452378776434276736,351.34568192837,57.812647918234,4.6912,2016.0
458063947277028480,23.46283749182,60.716894712384,3.2198,2016.0
522299395259992064,56.87129384761,24.105237841923,0.8512,2016.0
113368298696840576,39.87129374865,89.264109123847,2.0132,2016.0
1712843776837143296,272.64897123746,46.006236481923,5.9132,2016.0
4573025933716293376,281.41682374826,-8.239847123846,4.1293,2016.0
4346975481620671616,250.32287364812,-25.593746812347,3.7812,2016.0
6243789478828345216,234.25597346812,-41.167748123469,2.9134,2016.0
6025293992236715392,255.07129847361,-28.530347812346,4.5192,2016.0
6241118058631796736,231.23284736481,-43.133481923748,5.8192,2016.0
5856401491252388608,260.84628347123,29.090437812346,6.2312,2016.0
2102503514236441088,299.07628347812,35.083478192384,0.7612,2016.0
